Job,2024 Median Pay,Degree Typically Needed,"# of Jobs, 2024","Job Outlook, 2024-34","Employment Change, 2024-34"
Data Scientist," $112,590.00 ",Bachelor's,"245,900",34%,"82,500"
Clinical Laboratory Technologists and Technicians," $61,890.00 ",Bachelor's,"351,200",2%,"6,000"
Chemists and Materials Scientists," $86,620.00 ",Bachelor's,"95,500",5%,"4,700"
Biochemists," $103,650.00 ",Doctoral or Professional,"35,600",6%,"2,100"
Medical Scientists," $100,590.00 ",Doctoral or Professional,"165,300",9%,"14,300"
Microbiologists," $87,330.00 ",Bachelor's,"20,700",4%,800
Epidemiologists," $83,980.00 ",Master's,"12,300",16%,"2,000"
Environmental Scientists," $80,060.00 ",Bachelor's,"90,300",4%,"4,000"
,,,,,
,,,,,